Nombre Algoritmo, Dataset (con restricciones), Semilla, Infeasible, IntraCluster, Fitness, Ellapsed(s)
SteadyGeneticUniform,glass_set_const_20,123456789,130,0.2534321710913064,0.3211114121887905,5.165468155
SteadyGeneticUniform,bupa_set_const_10,123456789,652,0.14612586967004457,0.32085420311594276,7.962265678
SteadyGeneticUniform,bupa_set_const_20,123456789,980,0.15518218016295263,0.29183439565657743,10.769148278
SteadyGeneticUniform,zoo_set_const_10,234567891,4,0.69672373472943,0.7270342694262536,1.87756053
SteadyGeneticUniform,zoo_set_const_20,234567891,11,0.7139696481321335,0.7583885402618535,2.092256113
SteadyGeneticUniform,glass_set_const_10,234567891,53,0.2074256274158816,0.25957979692129723,4.027980106
SteadyGeneticUniform,glass_set_const_20,234567891,24,0.2384372718027341,0.2509319009284235,5.1539632
SteadyGeneticUniform,bupa_set_const_10,234567891,467,0.16562135431120842,0.29077186308304037,7.952775377
SteadyGeneticUniform,bupa_set_const_20,234567891,1017,0.15351191059868788,0.2953234444323781,10.762710706
SteadyGeneticUniform,zoo_set_const_10,3456789,2,0.7065398070249701,0.7216950743733819,1.875296851
SteadyGeneticUniform,zoo_set_const_20,3456789,18,0.6676042787616272,0.7402897386102599,2.144347989
SteadyGeneticUniform,glass_set_const_10,3456789,17,0.2546982071185144,0.27142690299760996,4.112919884
SteadyGeneticUniform,glass_set_const_20,3456789,86,0.20924164881666554,0.2540140698503858,5.137252438
SteadyGeneticUniform,bupa_set_const_10,3456789,561,0.15483823120270976,0.305179634673797,7.910153705
SteadyGeneticUniform,bupa_set_const_20,3456789,1076,0.16166209131117762,0.31170064628172894,11.035845679
SteadyGeneticUniform,zoo_set_const_10,456789123,6,0.6612613122128098,0.7067271142580451,1.87955682
SteadyGeneticUniform,zoo_set_const_20,456789123,18,0.6936541713830804,0.7663396312317131,2.134176022
SteadyGeneticUniform,glass_set_const_10,456789123,43,0.19337800456830428,0.23569176473307546,4.054242179
SteadyGeneticUniform,glass_set_const_20,456789123,34,0.2426804494451312,0.26038117403985783,5.204050138
SteadyGeneticUniform,bupa_set_const_10,456789123,477,0.15386679465172368,0.28169718583837006,7.957980921
SteadyGeneticUniform,bupa_set_const_20,456789123,1029,0.14796156141508457,0.2914463876833906,10.822911284
SteadyGeneticUniform,zoo_set_const_10,567891234,13,0.7189047197838453,0.8174139575485218,1.86138325
SteadyGeneticUniform,zoo_set_const_20,567891234,29,0.638499011087476,0.7556033630658288,2.121356207
SteadyGeneticUniform,glass_set_const_10,567891234,14,0.2455766326237893,0.25935320570069154,4.070799495
SteadyGeneticUniform,glass_set_const_20,567891234,63,0.2613850029573516,0.29418340441228624,5.210258224
SteadyGeneticUniform,bupa_set_const_10,567891234,442,0.15580074066915178,0.2742515434039478,7.944008076
SteadyGeneticUniform,bupa_set_const_20,567891234,911,0.1438348130239104,0.2708655970184943,10.747093494
SteadyGeneticSegment,zoo_set_const_10,123456789,5,0.6058389617101086,0.643727130081138,1.841135113
SteadyGeneticSegment,zoo_set_const_20,123456789,28,0.594321838617433,0.707388109493084,2.068890435
SteadyGeneticSegment,glass_set_const_10,123456789,25,0.2217822163433762,0.24638323969498735,4.092277091
